ID_Transacao,Data_Transacao,Descricao,Valor,ID_Categoria,Forma_Pagamento,Detalhe_Pagamento
1,2023-01-01,Aluguel apartamento,1800.00,1,Pix,
2,2023-01-03,Conta de luz,230.45,1,Débito automático,
3,2023-01-05,Supermercado semanal,520.90,3,Cartão de crédito,Banco do Brasil
4,2023-01-07,Jantar com amigos,150.00,4,Cartão de crédito,Nubank
5,2023-01-10,Salário mensal,4500.00,5,Transferência,
6,2023-01-12,Combustível,200.00,6,Dinheiro,
7,2023-01-15,Plano de saúde,350.00,7,Débito automático,
8,2023-01-18,Cinema,45.00,8,Cartão de crédito,Nubank
9,2023-01-21,Curso de inglês online,250.00,9,Cartão de crédito,Banco Inter
10,2023-01-25,Venda de produtos artesanais,150.00,10,Dinheiro,
11,2023-02-01,Aluguel apartamento,1800.00,1,Pix,
12,2023-02-03,Supermercado mensal,640.00,3,Cartão de crédito,Nubank
13,2023-02-05,Plano de saúde,350.00,7,Débito automático,
14,2023-02-07,Curso de fotografia,300.00,9,Pix,
15,2023-02-10,Venda de roupas usadas,200.00,10,Dinheiro,
16,2023-02-12,Ração para cachorro,90.00,11,Cartão de crédito,Nubank
17,2023-02-15,Internet residencial,120.00,12,Cartão de crédito,Banco do Brasil
18,2023-02-18,Corte de cabelo,60.00,13,Dinheiro,
19,2023-02-20,Doação para ONG,100.00,14,Pix,
20,2023-02-25,Compra de ações,1000.00,15,Transferência,
21,2023-03-01,Aluguel apartamento,1800.00,1,Pix,
22,2023-03-03,Supermercado mensal,650.00,3,Cartão de crédito,Nubank
23,2023-03-05,Plano de saúde,350.00,7,Débito automático,
24,2023-03-07,Curso de inglês,250.00,9,Cartão de crédito,Banco Inter
25,2023-03-10,Freelance design gráfico,800.00,10,Transferência,
26,2023-03-12,Ração para cachorro,90.00,11,Cartão de crédito,Nubank
27,2023-03-15,Internet residencial,120.00,12,Cartão de crédito,Banco do Brasil
28,2023-03-18,Cosméticos,110.00,13,Cartão de crédito,Itaú
29,2023-03-20,Doação para ONG,100.00,14,Pix,
30,2023-03-25,Compra de ações,1000.00,15,Transferência,
31,2023-04-01,Aluguel apartamento,1800.00,1,Pix,
32,2023-04-03,Supermercado mensal,670.00,3,Cartão de crédito,Bradesco
33,2023-04-05,Farmácia,85.00,7,Cartão de crédito,Banco Inter
34,2023-04-07,Curso de fotografia,300.00,9,Pix,
35,2023-04-10,Venda de produtos online,450.00,10,Dinheiro,
36,2023-04-12,Consulta veterinária,220.00,11,Cartão de crédito,Banco do Brasil
37,2023-04-15,Plano de celular,80.00,12,Débito automático,
38,2023-04-18,Corte de cabelo,60.00,13,Dinheiro,
39,2023-04-20,Ajuda para mãe,300.00,14,Transferência,
40,2023-04-25,Dividendos recebidos,250.00,15,Transferência,
41,2023-05-01,Aluguel apartamento,1800.00,1,Pix,
42,2023-05-03,Supermercado mensal,690.00,3,Cartão de crédito,Nubank
43,2023-05-05,Plano de saúde,350.00,7,Débito automático,
44,2023-05-07,Curso de culinária,280.00,9,Cartão de crédito,Nubank
45,2023-05-10,Venda de móveis usados,500.00,10,Dinheiro,
46,2023-05-12,Ração para gato,85.00,11,Cartão de crédito,Nubank
47,2023-05-15,Internet residencial,120.00,12,Cartão de crédito,Banco do Brasil
48,2023-05-18,Maquiagem,110.00,13,Cartão de crédito,Itaú
49,2023-05-20,Doação para ONG,100.00,14,Pix,
